<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.09	17:10:00	719.49	719.84	718.88	719.13	90	15829	1
2025.10.09	17:11:00	719.06	719.70	718.99	719.54	66	8725	4
2025.10.09	17:12:00	719.54	720.35	719.52	719.80	135	18809	1
2025.10.09	17:13:00	719.79	719.99	719.02	719.51	48	11775	5
2025.10.09	17:14:00	719.69	719.71	719.17	719.45	34	7221	1
2025.10.09	17:15:00	719.60	719.80	719.17	719.27	42	4829	3
2025.10.09	17:16:00	719.36	719.97	719.36	719.46	58	7590	1
2025.10.09	17:17:00	719.55	719.69	719.38	719.69	33	5367	1
2025.10.09	17:18:00	719.81	719.93	719.08	719.28	35	5342	5
2025.10.09	17:19:00	719.54	719.54	718.45	718.59	63	12736	3
2025.10.09	17:20:00	718.79	718.85	717.45	717.80	54	8044	1
2025.10.09	17:21:00	717.56	717.69	716.65	717.65	85	12578	3
2025.10.09	17:22:00	717.20	717.73	717.18	717.68	35	5212	4
2025.10.09	17:23:00	717.68	718.32	717.68	718.19	26	5199	7
2025.10.09	17:24:00	718.19	718.98	718.11	718.83	63	9477	2
2025.10.09	17:25:00	718.44	718.64	718.30	718.57	22	2634	3
2025.10.09	17:26:00	718.64	718.71	718.06	718.29	26	4819	3
2025.10.09	17:27:00	718.27	718.40	717.87	718.20	24	3403	1
2025.10.09	17:28:00	718.43	718.90	718.15	718.64	56	7752	1
2025.10.09	17:29:00	718.69	719.08	718.67	718.97	56	10308	1
2025.10.09	17:30:00	718.96	719.20	718.46	718.66	43	8107	1
2025.10.09	17:31:00	718.80	719.06	717.90	717.90	50	9609	1
2025.10.09	17:32:00	717.96	718.13	717.49	717.55	41	9803	1
2025.10.09	17:33:00	717.70	717.73	717.28	717.57	98	13205	1
2025.10.09	17:34:00	717.48	717.68	717.01	717.15	57	11379	2
2025.10.09	17:35:00	717.16	717.60	716.89	717.56	49	15581	5
2025.10.09	17:36:00	717.65	718.18	717.50	718.02	74	10400	1
2025.10.09	17:37:00	717.95	718.99	717.86	718.44	91	15347	1
2025.10.09	17:38:00	718.63	718.63	718.16	718.20	84	9924	4
2025.10.09	17:39:00	718.29	718.53	718.08	718.53	94	12140	1
2025.10.09	17:40:00	718.57	719.24	718.52	719.19	37	6401	1
2025.10.09	17:41:00	719.11	719.45	718.64	718.69	79	15824	2
2025.10.09	17:42:00	718.72	718.72	718.19	718.71	31	5239	2
2025.10.09	17:43:00	718.65	719.30	718.59	719.12	51	15484	1
2025.10.09	17:44:00	718.94	719.36	718.58	718.87	58	8446	2
2025.10.09	17:45:00	718.75	719.20	718.55	719.20	77	13407	1
2025.10.09	17:46:00	719.05	719.49	719.00	719.26	50	7964	1
2025.10.09	17:47:00	719.26	719.82	719.22	719.44	66	12221	1
2025.10.09	17:48:00	719.43	719.74	719.20	719.54	37	5571	2
